,Site,Date,CO,NO2,NO2_caps,ozone,PM2.5_MO,PM2.5_FEM,RH,SO2,Temperature,Temperature_10_m,Wind_Direction_s,Wind_Direction_v,Wind_Speed_p,Wind_Speed_s,Ozone_8hr_avg,PM2.5_MO_24hr_avg,PM2.5_FEM_24hr_avg,CO_8hr_avg,PM2.5MO_SubIndex,PM2.5FEM_SubIndex,PM2.5_1hrMO_SubIndex,PM2.5_1hrFEM_SubIndex,03_SubIndex,CO_SubIndex,SO2_SubIndex,NO2_SubIndex,NO2_CAPS_SubIndex,AQI_calculated,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk,Spokane St. Bridge Total,West,East,precip_accum_one_hour_set_1,AQI_bucket_calculated,AQI_calculated_where,AQI_Cause
16,Seattle 10th & Weller,2014-06-06,,26.8705,,,,9.433333333333334,,,,,187.79166666666666,,,4.591666666666667,,,4.4970486111111105,0.33252506944444427,0.0,18.737702546296294,0.0,36.768076418693376,0.0,3.7786939709595937,0.0,21.124606918238992,0.0,27.583333333333332,4382.0,2200.0,2182.0,1236.0,598.0,638.0,0.0,Good,NO2_SubIndex,NO2
17,Seattle 10th & Weller,2014-06-07,,12.82875,,,,4.5375000000000005,,,,,146.25,,,4.704166666666667,,,2.726947463768116,0.29052304067460305,0.0,11.362281099033815,0.0,18.906250000000004,0.0,3.301398189484125,0.0,12.102594339622641,0.0,15.125,2807.0,1529.0,1278.0,1009.0,512.0,497.0,0.0,Good,NO2_SubIndex,NO2
18,Seattle 10th & Weller,2014-06-08,,13.974583333333333,,,,5.8125,,,,,168.875,,,4.3625,,,3.031597222222222,0.3422656249999998,0.0,12.631655092592593,0.0,24.21875,0.0,3.8893821022727253,0.0,13.183569182389938,0.0,15.875,3547.0,1900.0,1647.0,799.0,394.0,405.0,0.0,Good,NO2_SubIndex,NO2
19,Seattle 10th & Weller,2014-06-09,,15.397619047619049,,,,5.320833333333334,,,,,124.79166666666667,,,5.125,,,4.390972222222222,0.3198651785714284,0.0,18.29571759259259,0.0,22.17013888888889,0.0,3.6348315746753226,0.0,12.710298742138365,0.0,20.166666666666668,4128.0,2040.0,2088.0,1173.0,581.0,592.0,0.03,Good,PM2.5FEM_SubIndex,PM2.5
20,Seattle 10th & Weller,2014-06-10,,16.611250000000002,,,,7.483333333333333,,,,,105.33333333333333,,,3.954166666666667,,,5.16185192374051,0.32612857142857127,0.0,21.507716348918795,0.0,30.370171673819744,0.0,3.706006493506491,0.0,15.670990566037736,0.0,23.791666666666668,4530.0,2253.0,2277.0,1294.0,629.0,665.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
21,Seattle 10th & Weller,2014-06-11,0.50188,21.8555,,,,8.125,,,,,202.08333333333334,,,4.416666666666667,,,8.912179834054834,0.5301080357142856,0.0,36.33159694804679,0.0,32.267599546971866,0.0,6.023954951298699,0.0,17.18199685534591,0.0,36.416666666666664,5196.0,2654.0,2542.0,1492.0,734.0,758.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
22,Seattle 10th & Weller,2014-06-12,0.5105416666666667,20.387916666666666,,,,5.728571428571429,,,,,190.25,,,7.333333333333333,,,10.322916666666666,0.49736979166666656,0.0,40.187358428707675,0.0,20.885416666666668,0.0,5.651929450757574,0.0,19.23388364779874,0.0,40.041666666666664,4077.0,2098.0,1979.0,1133.0,525.0,608.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
23,Seattle 10th & Weller,2014-06-13,0.53603,23.377000000000002,,,,7.795833333333333,,,,,193.04166666666666,,,8.358333333333333,,,10.758282553798857,0.6567746180555554,0.0,43.214530957550885,0.0,32.48263888888889,0.0,7.463347932449492,0.0,18.37814465408805,0.0,43.25,2266.0,1131.0,1135.0,558.0,287.0,271.0,8.026666667,Good,PM2.5FEM_SubIndex,PM2.5
24,Seattle 10th & Weller,2014-06-14,0.3973,13.301666666666668,,,,8.091666666666667,,,,,139.375,,,5.533333333333334,,,8.714847524154589,0.49443549107142837,0.0,35.47447669915787,0.0,33.71527777777778,0.0,5.618585125811687,0.0,12.54874213836478,0.0,35.583333333333336,1773.0,955.0,818.0,695.0,339.0,356.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
25,Seattle 10th & Weller,2014-06-15,0.35651666666666665,11.402500000000002,,,,5.3125,,,,,151.125,,,4.733333333333333,,,11.059722222222222,0.4591769345238093,0.0,44.85749731759657,0.0,22.135416666666668,0.0,5.217919710497833,0.0,10.757075471698114,0.0,44.833333333333336,1267.0,720.0,547.0,455.0,220.0,235.0,0.37,Good,PM2.5FEM_SubIndex,PM2.5
26,Seattle 10th & Weller,2014-06-16,0.63215,26.139,,,,6.016666666666667,,,,,207.375,,,4.183333333333334,,,4.600694444444445,0.3995479861111109,0.0,19.169560185185187,0.0,25.069444444444446,0.0,4.540318023989896,0.0,20.54952830188679,0.0,27.291666666666668,3361.0,1689.0,1672.0,902.0,441.0,461.0,3.99,Good,NO2_SubIndex,NO2
27,Seattle 10th & Weller,2014-06-17,0.43092083333333336,16.734166666666667,,,,6.708333333333333,,,,,170.70833333333334,,,5.104166666666667,,,5.685764575098815,0.4934906249999998,0.0,23.690685729578394,0.0,27.95138888888889,0.0,5.607848011363635,0.0,15.786949685534593,0.0,24.166666666666668,4107.0,2075.0,2032.0,1079.0,519.0,560.0,1.2,Good,PM2.5FEM_SubIndex,PM2.5
28,Seattle 10th & Weller,2014-06-18,0.655975,31.286875,,,,8.744444444444445,,,,57.45454545454545,204.2,,,4.245,,,6.215,0.48323303571428555,0.0,25.895833333333332,0.0,32.385014306151646,0.0,5.491284496753244,0.0,23.6127358490566,0.0,29.55,4650.0,2380.0,2270.0,1220.0,496.0,724.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
29,Seattle 10th & Weller,2014-06-19,0.5020045454545454,20.68909090909091,,,,6.458333333333333,,,,57.958333333333336,192.70833333333334,,,6.545833333333333,,,4.949131944444445,0.3298636160714284,0.0,20.62138310185185,0.0,26.909722222222225,0.0,3.748450182629868,0.0,17.891509433962266,0.0,22.916666666666668,4412.0,2248.0,2164.0,1270.0,627.0,643.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
30,Seattle 10th & Weller,2014-06-20,0.40387500000000004,16.639473684210525,,,,5.395833333333333,,,,57.0,142.33333333333334,,,4.645833333333333,,,3.9451388888888883,0.35802434523809507,0.0,16.438078703703702,0.0,22.381080114449215,0.0,4.0684584686147165,0.0,12.427279874213838,0.0,19.541666666666668,3790.0,1902.0,1888.0,1020.0,497.0,523.0,1.04,Good,PM2.5FEM_SubIndex,PM2.5
31,Seattle 10th & Weller,2014-06-21,0.3736291666666667,14.324166666666668,,,,5.241666666666666,,,,61.166666666666664,190.45833333333334,,,4.6375,,,11.634331768774702,0.7582494791666665,0.0,46.089808894658944,0.0,21.840277777777782,0.0,8.616471354166665,0.0,13.513364779874214,0.0,46.041666666666664,3204.0,1510.0,1694.0,1135.0,551.0,584.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
32,Seattle 10th & Weller,2014-06-22,0.415075,16.948333333333334,,,,6.179166666666667,,,,64.45833333333333,195.875,,,4.420833333333333,,,6.931581439393939,0.5255644345238094,0.0,28.881589330808083,0.0,25.746527777777782,0.0,5.972323119588743,0.0,15.988993710691824,0.0,28.875,2714.0,1411.0,1303.0,910.0,447.0,463.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
33,Seattle 10th & Weller,2014-06-23,0.56685,26.961000000000002,,,,7.6625000000000005,,,,65.95833333333333,186.5,,,3.7708333333333335,,,5.683680555555555,0.379746790674603,0.0,23.682002314814813,0.0,31.14248032904149,0.0,4.315304439484125,0.0,21.19575471698113,0.0,27.5,4477.0,2211.0,2266.0,1340.0,662.0,678.0,0.0,Good,PM2.5FEM_SubIndex,PM2.5
34,Seattle 10th & Weller,2014-06-24,0.5575583333333333,23.380416666666665,,,,5.970833333333332,,,,66.04166666666667,223.20833333333334,,,4.583333333333333,,,5.627392617949682,0.4630837648809522,0.0,23.447469241457014,0.0,24.878472222222225,0.0,5.26231551001082,0.0,22.05699685534591,0.0,26.458333333333332,4342.0,2206.0,2136.0,1172.0,596.0,576.0,0.06,Good,PM2.5FEM_SubIndex,PM2.5
