"X","Site","Date","CO","NO2","NO2_caps","ozone","PM2.5_MO","PM2.5_FEM","RH","SO2","Temperature","Temperature_10_m","Wind_Direction_s","Wind_Direction_v","Wind_Speed_p","Wind_Speed_s","Ozone_8hr_avg","PM2.5_MO_24hr_avg","PM2.5_FEM_24hr_avg","CO_8hr_avg","PM2.5MO_SubIndex","PM2.5FEM_SubIndex","PM2.5_1hrMO_SubIndex","PM2.5_1hrFEM_SubIndex","X03_SubIndex","CO_SubIndex","SO2_SubIndex","NO2_SubIndex","NO2_CAPS_SubIndex","AQI_calculated","Fremont.Bridge.Total","Fremont.Bridge.East.Sidewalk","Fremont.Bridge.West.Sidewalk","Spokane.St..Bridge.Total","West","East","precip_accum_one_hour_set_1","AQI_bucket_calculated","AQI_calculated_where","AQI_Cause","mPM","mNO2","mWS","mWD","DOW","weekday","month","AQ_cat"
14,"Seattle 10th & Weller",2014-06-04,NA,29.0645,NA,NA,NA,11.3090909090909,NA,NA,NA,NA,233.130434782609,NA,NA,4.66086956521739,NA,NA,4.64776570048309,0.384626041666666,0,19.3656904186795,0,41.2784632808774,0,4.37075047348485,0,22.8494496855346,0,26.6666666666667,4863,2463,2400,1392,678,714,0,"Good","NO2_SubIndex","NO2",11.3090909090909,29.0645,4.66086956521739,233.130434782609,4,"Wed","%b","less"
15,"Seattle 10th & Weller",2014-06-05,NA,28.0675,NA,NA,NA,10.8083333333333,NA,NA,NA,NA,232.833333333333,NA,NA,4.13333333333333,NA,NA,3.96796497584541,0.382190104166666,0,16.5331873993559,0,42.1415265855985,0,4.3430693655303,0,26.4787735849057,0,28.5,4675,2322,2353,1404,709,695,0,"Good","NO2_SubIndex","NO2",10.8083333333333,28.0675,4.13333333333333,232.833333333333,5,"Thu","%b","less"
16,"Seattle 10th & Weller",2014-06-06,NA,26.8705,NA,NA,NA,9.43333333333333,NA,NA,NA,NA,187.791666666667,NA,NA,4.59166666666667,NA,NA,4.49704861111111,0.332525069444444,0,18.7377025462963,0,36.7680764186934,0,3.77869397095959,0,21.124606918239,0,27.5833333333333,4382,2200,2182,1236,598,638,0,"Good","NO2_SubIndex","NO2",9.43333333333333,26.8705,4.59166666666667,187.791666666667,6,"Fri","%b","less"
17,"Seattle 10th & Weller",2014-06-07,NA,12.82875,NA,NA,NA,4.5375,NA,NA,NA,NA,146.25,NA,NA,4.70416666666667,NA,NA,2.72694746376812,0.290523040674603,0,11.3622810990338,0,18.90625,0,3.30139818948413,0,12.1025943396226,0,15.125,2807,1529,1278,1009,512,497,0,"Good","NO2_SubIndex","NO2",4.5375,12.82875,4.70416666666667,146.25,7,"Sat","%b","less"
18,"Seattle 10th & Weller",2014-06-08,NA,13.9745833333333,NA,NA,NA,5.8125,NA,NA,NA,NA,168.875,NA,NA,4.3625,NA,NA,3.03159722222222,0.342265625,0,12.6316550925926,0,24.21875,0,3.88938210227273,0,13.1835691823899,0,15.875,3547,1900,1647,799,394,405,0,"Good","NO2_SubIndex","NO2",5.8125,13.9745833333333,4.3625,168.875,1,"Sun","%b","less"
19,"Seattle 10th & Weller",2014-06-09,NA,15.397619047619,NA,NA,NA,5.32083333333333,NA,NA,NA,NA,124.791666666667,NA,NA,5.125,NA,NA,4.39097222222222,0.319865178571428,0,18.2957175925926,0,22.1701388888889,0,3.63483157467532,0,12.7102987421384,0,20.1666666666667,4128,2040,2088,1173,581,592,0.03,"Good","PM2.5FEM_SubIndex","PM2.5",5.32083333333333,15.397619047619,5.125,124.791666666667,2,"Mon","%b","less"
20,"Seattle 10th & Weller",2014-06-10,NA,16.61125,NA,NA,NA,7.48333333333333,NA,NA,NA,NA,105.333333333333,NA,NA,3.95416666666667,NA,NA,5.16185192374051,0.326128571428571,0,21.5077163489188,0,30.3701716738197,0,3.70600649350649,0,15.6709905660377,0,23.7916666666667,4530,2253,2277,1294,629,665,0,"Good","PM2.5FEM_SubIndex","PM2.5",7.48333333333333,16.61125,3.95416666666667,105.333333333333,3,"Tue","%b","less"
21,"Seattle 10th & Weller",2014-06-11,0.50188,21.8555,NA,NA,NA,8.125,NA,NA,NA,NA,202.083333333333,NA,NA,4.41666666666667,NA,NA,8.91217983405483,0.530108035714286,0,36.3315969480468,0,32.2675995469719,0,6.0239549512987,0,17.1819968553459,0,36.4166666666667,5196,2654,2542,1492,734,758,0,"Good","PM2.5FEM_SubIndex","PM2.5",8.125,21.8555,4.41666666666667,202.083333333333,4,"Wed","%b","less"
22,"Seattle 10th & Weller",2014-06-12,0.510541666666667,20.3879166666667,NA,NA,NA,5.72857142857143,NA,NA,NA,NA,190.25,NA,NA,7.33333333333333,NA,NA,10.3229166666667,0.497369791666667,0,40.1873584287077,0,20.8854166666667,0,5.65192945075757,0,19.2338836477987,0,40.0416666666667,4077,2098,1979,1133,525,608,0,"Good","PM2.5FEM_SubIndex","PM2.5",5.72857142857143,20.3879166666667,7.33333333333333,190.25,5,"Thu","%b","less"
23,"Seattle 10th & Weller",2014-06-13,0.53603,23.377,NA,NA,NA,7.79583333333333,NA,NA,NA,NA,193.041666666667,NA,NA,8.35833333333333,NA,NA,10.7582825537989,0.656774618055555,0,43.2145309575509,0,32.4826388888889,0,7.46334793244949,0,18.3781446540881,0,43.25,2266,1131,1135,558,287,271,8.026666667,"Good","PM2.5FEM_SubIndex","PM2.5",7.79583333333333,23.377,8.35833333333333,193.041666666667,6,"Fri","%b","less"
