"","X","index","Site","Date","CO","NO2","NO2_caps","ozone","PM2.5_MO","PM2.5_FEM","RH","SO2","Temperature","Temperature_10_m","Wind_Direction_s","Wind_Direction_v","Wind_Speed_p","Wind_Speed_s","X03_SubIndex","CO_SubIndex","PM2.5_1hrMO_SubIndex","PM2.5_1hrFEM_SubIndex","SO2_SubIndex","NO2_SubIndex","NO2_CAPS_SubIndex","AQI_calculated","AQI_calculated_where","AQI_Cause","AQI_bucket_calculated","Fremont.Bridge.Total","Fremont.Bridge.East.Sidewalk","Fremont.Bridge.West.Sidewalk","Spokane.St..Bridge.Total","West","East","precip_accum_one_hour_set_1","mPM","mNO2","AQ_cat"
"5567",6139,6139,"Seattle Beacon Hill",2020-04-27,0.132975,NA,3.57583333333333,33.75,3.46666666666667,NA,NA,0.558333333333333,NA,53.7916666666667,NA,NA,NA,NA,31.25,1.51107954545455,14.4444444444444,0,0.797619047619048,0,3.37342767295597,31,"03_SubIndex","O3","Good",1938,843,1095,659,325,334,4.15942352,3.46666666666667,3.57583333333333,"less"
"5568",6140,6140,"Seattle Beacon Hill",2020-04-28,0.175729166666667,NA,9.73208333333333,20.4347826086957,4.95238095238095,NA,NA,0.641666666666667,NA,52.7916666666667,NA,NA,NA,NA,18.9210950080515,1.99692234848485,20.6349206349206,0,0.916666666666667,0,9.1812106918239,21,"PM2.5_1hrMO_SubIndex","PM2.5","Good",1853,868,985,727,359,368,0,4.95238095238095,9.73208333333333,"less"
"5569",6141,6141,"Seattle Beacon Hill",2020-04-29,0.145308333333333,NA,4.79833333333333,25.8333333333333,3,NA,NA,0.670833333333333,NA,56.5,NA,NA,NA,NA,23.9197530864198,1.65123106060606,12.5,0,0.958333333333333,0,4.52672955974843,24,"03_SubIndex","O3","Good",2054,979,1075,774,372,402,0,3,4.79833333333333,"less"
"5570",6142,6142,"Seattle Beacon Hill",2020-04-30,0.136490909090909,NA,2.12636363636364,39.5833333333333,2,NA,NA,0.509090909090909,NA,52.4583333333333,NA,NA,NA,NA,36.6512345679012,1.55103305785124,8.33333333333333,0,0.727272727272727,0,2.00600343053173,37,"03_SubIndex","O3","Good",1993,925,1068,718,346,372,0.86,2,2.12636363636364,"less"
"5571",6143,6143,"Seattle Beacon Hill",2020-05-01,0.165854166666667,NA,4.72347826086957,32.6086956521739,3,NA,NA,0.558333333333333,NA,54.9583333333333,NA,NA,NA,NA,30.1932367149758,1.88470643939394,12.5,0,0.797619047619048,0,4.45611156685808,30,"03_SubIndex","O3","Good",3152,1465,1687,1202,595,607,0,3,4.72347826086957,"less"
"5572",6144,6144,"Seattle Beacon Hill",2020-05-02,0.167195238095238,NA,5.33333333333333,29.1304347826087,3.89473684210526,NA,NA,0.595454545454545,NA,52.3333333333333,NA,NA,NA,NA,26.9726247987118,1.89994588744589,16.2280701754386,0,0.850649350649351,0,5.0314465408805,27,"03_SubIndex","O3","Good",883,437,446,310,163,147,7.106333333,3.89473684210526,5.33333333333333,"less"
"5573",6145,6145,"Seattle Beacon Hill",2020-05-03,0.1526,NA,2.62833333333333,35.4166666666667,3.15384615384615,NA,NA,0.345833333333333,NA,49.625,NA,NA,NA,NA,32.7932098765432,1.73409090909091,13.1410256410256,0,0.494047619047619,0,2.47955974842767,33,"03_SubIndex","O3","Good",3010,1469,1541,1215,598,617,1.725555555,3.15384615384615,2.62833333333333,"less"
"5574",6146,6146,"Seattle Beacon Hill",2020-05-04,0.177121739130435,NA,7.77666666666667,26.0869565217391,2.4,NA,NA,0.6375,NA,52.2916666666667,NA,NA,NA,NA,24.1545893719807,2.01274703557312,10,0,0.910714285714286,0,7.33647798742138,24,"03_SubIndex","O3","Good",1971,855,1116,793,381,412,0,2.4,7.77666666666667,"less"
"5575",6147,6147,"Seattle Beacon Hill",2020-05-05,0.144583333333333,NA,7.43391304347826,35.4166666666667,2.8,NA,NA,0.6125,NA,58.0833333333333,NA,NA,NA,NA,32.7932098765432,1.64299242424242,11.6666666666667,0,0.875,0,7.01312551271534,33,"03_SubIndex","O3","Good",2674,1246,1428,979,479,500,0,2.8,7.43391304347826,"less"
"5576",6148,6148,"Seattle Beacon Hill",2020-05-06,0.143104347826087,NA,2.63583333333333,40,2.4,NA,NA,0.440909090909091,NA,52.5833333333333,NA,NA,NA,NA,37.037037037037,1.62618577075099,10,0,0.62987012987013,0,2.48663522012579,37,"03_SubIndex","O3","Good",1454,652,802,537,259,278,4.213333333,2.4,2.63583333333333,"less"
