,Date,CO,NO2,NO2_caps,ozone,PM2.5_MO,PM2.5_FEM,RH,SO2,Temperature,Temperature_10_m,Wind_Direction_s,Wind_Direction_v,Wind_Speed_p,Wind_Speed_s,Ozone_8hr_avg,PM2.5_MO_24hr_avg,PM2.5_FEM_24hr_avg,CO_8hr_avg,PM2.5MO_SubIndex,PM2.5FEM_SubIndex,PM2.5_1hrMO_SubIndex,PM2.5_1hrFEM_SubIndex,03_SubIndex,CO_SubIndex,SO2_SubIndex,NO2_SubIndex,NO2_CAPS_SubIndex,AQI_calculated,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk,Spokane St. Bridge Total,West,East,time_hour,time_yr,DOW,precip_accum_one_hour_set_1
0,2012-01-01,,,,16.25,,6.35,60.625,,45.75,,,219.29166666666666,2.2125,,,,8.367235399449134,,0.0,13.073805311639271,0.0,22.048611111111114,0.0,0.0,0.0,0.0,0.0,13.083333333333334,,,,,,,,,,0.12
1,2012-01-02,,,,20.555555555555557,,5.076470588235294,69.91666666666667,,46.375,,,158.95833333333334,5.1625000000000005,,,,7.646180555555556,,0.0,31.859085648148152,0.0,14.982638888888891,0.0,0.0,0.0,0.0,0.0,31.791666666666668,,,,,,,,,,0.25
2,2012-01-03,,,,16.428571428571427,,4.6000000000000005,83.95833333333333,,49.125,,,167.5,3.3333333333333335,,,,5.481423611111111,,0.0,22.839265046296294,0.0,13.576388888888891,0.0,0.0,0.0,0.0,0.0,22.833333333333332,,,,,,,,,,10.495
3,2012-01-04,,,,16.11111111111111,,4.935294117647059,86.29166666666667,,49.083333333333336,,,182.91666666666666,5.729166666666667,,,,6.272395833333333,,0.0,26.13498263888889,0.0,14.565972222222223,0.0,0.0,0.0,0.0,0.0,26.166666666666668,,,,,,,,,,14.988333333
4,2012-01-05,,,,24.166666666666668,,4.508333333333334,82.875,,43.666666666666664,,,191.91666666666666,6.5874999999999995,,,,4.877777777777777,,0.0,20.324074074074076,0.0,18.784722222222225,0.0,0.0,0.0,0.0,0.0,20.375,,,,,,,,,,5.62
5,2012-01-06,,,,11.25,,6.0249999999999995,90.54166666666667,,38.5,,,163.41666666666666,2.6374999999999997,,,,4.436458333333333,,0.0,18.485243055555557,0.0,25.104166666666668,0.0,0.0,0.0,0.0,0.0,18.541666666666668,,,,,,,,,,0.75
6,2012-01-07,,,,10.0,,5.6499999999999995,91.75,,40.875,,,146.95833333333334,3.091666666666667,,,,5.836284722222222,,0.0,24.317853009259263,0.0,23.541666666666668,0.0,0.0,0.0,0.0,0.0,24.333333333333332,,,,,,,,,,1.6700000000000002
7,2012-01-08,,,,10.0,,7.541666666666667,82.875,,44.833333333333336,,,157.66666666666666,3.4291666666666667,,,,8.802430555555556,,0.0,36.67679398148149,0.0,31.423611111111114,0.0,0.0,0.0,0.0,0.0,36.75,,,,,,,,,,0.0
8,2012-01-09,,,,17.142857142857142,,4.886363636363637,84.75,,45.791666666666664,,,136.66666666666666,4.241666666666666,,,,8.775347222222221,,0.0,36.56394675925926,0.0,18.663194444444446,0.0,0.0,0.0,0.0,0.0,36.583333333333336,,,,,,,,,,0.15
9,2012-01-10,,,,19.047619047619047,,3.74375,75.33333333333333,,39.541666666666664,,,158.58333333333334,4.254166666666666,,,,9.436631944444445,,0.0,39.31929976851852,0.0,10.399305555555555,0.0,0.0,0.0,0.0,0.0,39.25,,,,,,,,,,5.66
10,2012-01-11,,,,13.125,,4.927777777777778,73.91666666666667,,35.916666666666664,,,33.75,4.091666666666667,,,,9.323263888888889,,0.0,38.846932870370374,0.0,15.399305555555557,0.0,0.0,0.0,0.0,0.0,38.833333333333336,,,,,,,,,,0.0
11,2012-01-12,,,,10.0,,8.908333333333333,72.0,,36.25,,,106.04166666666667,2.3916666666666666,,,,13.41066370223979,,0.0,52.64241497957195,0.0,36.15611587982833,0.0,0.0,0.0,0.0,0.0,52.666666666666664,,,,,,,,,,0.0
12,2012-01-13,,,,,,14.620833333333332,86.66666666666667,,35.375,,,128.875,2.0541666666666667,,,,10.935258152173914,,0.0,45.11935115965355,0.0,53.015095970433954,0.0,0.0,0.0,0.0,0.0,45.083333333333336,,,,,,,,,,0.0
13,2012-01-14,,,,24.375,,6.645833333333333,86.58333333333333,,36.916666666666664,,,181.625,4.8875,,,,10.697036945542381,,0.0,44.57098727309326,0.0,25.82655281354316,0.0,0.0,0.0,0.0,0.0,44.708333333333336,,,,,,,,,,2.89
14,2012-01-15,,,,18.75,,5.5,94.66666666666667,,31.916666666666668,,,143.25,2.6166666666666667,,,,11.406820926657884,,0.0,47.51772506497692,0.0,22.511474725798763,0.0,0.0,0.0,0.0,0.0,47.5,,,,,,,,,,3.410666666
15,2012-01-16,,,,17.22222222222222,,5.8999999999999995,93.875,,32.083333333333336,,,174.875,5.545833333333333,,,,10.143402777777778,,0.0,42.26417824074074,0.0,23.629291845493565,0.0,0.0,0.0,0.0,0.0,42.291666666666664,,,,,,,,,,0.935
16,2012-01-17,,,,21.25,,2.4391304347826086,88.95833333333333,,33.958333333333336,,,189.66666666666666,5.4125000000000005,,,,5.496875,,0.0,22.903645833333332,0.0,9.739583333333334,0.0,0.0,0.0,0.0,0.0,22.833333333333332,,,,,,,,,,9.358666667
17,2012-01-18,,,,26.956521739130434,,2.660869565217391,96.08333333333333,,28.708333333333332,,,173.33333333333334,5.8999999999999995,,,,5.509548611111111,,0.0,22.9564525462963,0.0,10.625,0.0,0.0,0.0,0.0,0.0,22.916666666666668,,,,,,,,,,17.809999999
